title,slug,url,price_usd,price_kgs,Год выпуска,Тип кузова,Объем двигателя,Коробка передач,Пробег,Руль,Город,От (цена в кредит)
Продажа BMW X7 I (G07) 2020,bmw-x7-6a0833421a9bfa2d953a8b09,https://www.mashina.kg/details/bmw-x7-6a0833421a9bfa2d953a8b09,51900,4538655,2020.0,внедорожник 5 дв.,3.0,автомат,140000 km,Слева,Бишкек,В кредит от 77 259 ⃀
Продажа Toyota Kluger I (XU20) Рестайлинг 2003,toyota-kluger-6a087fa44fe87ef43f622316,https://www.mashina.kg/details/toyota-kluger-6a087fa44fe87ef43f622316,11500,1005675,2003.0,внедорожник 5 дв.,3.0,автомат,162000 km,Справа,Бишкек,В кредит от 25 537 ⃀
Lexus LX III Рестайлинг 2,lexus-lx-69df3ab7b2405878120642,https://www.mashina.kg/details/lexus-lx-69df3ab7b2405878120642,105000,9182250,2020.0,,5.7,автомат,225308 km,слева,Бишкек,В кредит от 121 589 ⃀
Продажа Hyundai Santa Fe IV 2020,hyundai-santa-fe-6a0ab1f02255e19c72aa31d8,https://www.mashina.kg/details/hyundai-santa-fe-6a0ab1f02255e19c72aa31d8,17000,1486650,2020.0,внедорожник 5 дв.,2.0,автомат,128000 km,Слева,Бишкек,В кредит от 33 252 ⃀
Продажа Changan Deepal S05 2026,changan-deepal-s05-6a07067b7e6906f96a8c2418,https://www.mashina.kg/details/changan-deepal-s05-6a07067b7e6906f96a8c2418,16800,1469160,2026.0,внедорожник 5 дв.,,автомат,300 км,Слева,Бишкек,В кредит от 32 861 ⃀
BMW 7 серии VI (G11/G12) Рестайлинг,bmw-7-serii-69d3b6186eb7e527217549,https://www.mashina.kg/details/bmw-7-serii-69d3b6186eb7e527217549,44500,3891525,2020.0,,4.4,автомат,55000 km,слева,Бишкек,В кредит от 66 243 ⃀
Продажа Lexus GX I 2005,lexus-gx-6a03f8d3fbdd8588bfd7093a,https://www.mashina.kg/details/lexus-gx-6a03f8d3fbdd8588bfd7093a,19500,1705275,2005.0,внедорожник 5 дв.,4.7,автомат,250000 km,Слева,Бишкек,В кредит от 38 142 ⃀
Продажа Toyota Camry VII (XV50) 2012,toyota-camry-6a09c8c5769acffeef5d2fbd,https://www.mashina.kg/details/toyota-camry-6a09c8c5769acffeef5d2fbd,12300,1075635,2012.0,седан,2.5,автомат,233000 km,Слева,Бишкек,В кредит от 27 314 ⃀
Chevrolet Malibu IX,chevrolet-malibu-69f1c8e756394618264082,https://www.mashina.kg/details/chevrolet-malibu-69f1c8e756394618264082,10000,874500,2018.0,,1.5,автомат,155000 km,слева,Бишкек,В кредит от 22 206 ⃀
Honda CR-V III,honda-crv-69b8d82e112b8201884089,https://www.mashina.kg/details/honda-crv-69b8d82e112b8201884089,11000,961950,2009.0,внедорожник 5 дв.,2.4,автомат,255000 km,Слева,Кочкор-Ата,В кредит от 24 427 ⃀
Продажа Toyota Levin XII (E210) 2020,toyota-levin-6a08033dd6a685a1f19903eb,https://www.mashina.kg/details/toyota-levin-6a08033dd6a685a1f19903eb,10499,918138,2020.0,седан,1.8,автомат,77000 km,Слева,Бишкек,В кредит от 23 314 ⃀
Продажа Kia K5 II 2018,kia-k5-6a0402ec602cb756d53bfeb4,https://www.mashina.kg/details/kia-k5-6a0402ec602cb756d53bfeb4,12500,1093125,2018.0,седан,2.0,автомат,94000 km,Слева,Бишкек,В кредит от 27 758 ⃀
Kia K7 YG (II) Рестайлинг,kia-k7-69fdfe7116d4b224478435,https://www.mashina.kg/details/kia-k7-69fdfe7116d4b224478435,17500,1530375,2020.0,,2.4,автомат,98000 km,слева,Бишкек,В кредит от 34 230 ⃀
Продажа Toyota RAV4 V (XA50) 2020,toyota-rav4-6a09d9ac1a669d302bd7d36b,https://www.mashina.kg/details/toyota-rav4-6a09d9ac1a669d302bd7d36b,24500,2142525,2020.0,внедорожник 5 дв.,2.5,автомат,87000 km,Слева,Бишкек,В кредит от 47 922 ⃀
Продажа Subaru Outback V Рестайлинг 2018,subaru-outback-6a0ac9f925662d3f5851dcef,https://www.mashina.kg/details/subaru-outback-6a0ac9f925662d3f5851dcef,18000,1574100,2018.0,универсал,2.5,вариатор,78447 km,Слева,Бишкек,В кредит от 35 208 ⃀
Продажа Toyota Highlander III (U50) Рестайлинг 2016,toyota-highlander-6a0ab11a42a13db26708c2d5,https://www.mashina.kg/details/toyota-highlander-6a0ab11a42a13db26708c2d5,17500,1530375,2016.0,внедорожник 5 дв.,3.5,автомат,287000 km,Слева,Бишкек,В кредит от 34 230 ⃀
Продажа SsangYong Tivoli I Рестайлинг 2019,ssangyong-tivoli-6a09af7d8561d7934daf331e,https://www.mashina.kg/details/ssangyong-tivoli-6a09af7d8561d7934daf331e,10800,944460,2019.0,внедорожник 5 дв.,1.5,автомат,179000 km,Слева,Бишкек,В кредит от 23 983 ⃀
Продажа Kia K7 YG (II) Рестайлинг 2019,kia-k7-6a07a475b46402d338a6d58b,https://www.mashina.kg/details/kia-k7-6a07a475b46402d338a6d58b,17200,1504140,2019.0,седан,2.4,автомат,189999 km,Слева,Ош,В кредит от 33 643 ⃀
Продажа LiXiang L8 Рестайлинг 2025,lixiang-l8-6a09f17a97fba2522da962e5,https://www.mashina.kg/details/lixiang-l8-6a09f17a97fba2522da962e5,41200,3602940,2025.0,внедорожник 5 дв.,1.5,автомат,23000 km,Слева,Бишкек,В кредит от 61 331 ⃀
Toyota Highlander IV (U70),toyota-highlander-69f23d6511e4d429823549,https://www.mashina.kg/details/toyota-highlander-69f23d6511e4d429823549,49500,4328775,2026.0,,2.5,автомат,30 km,слева,Бишкек,В кредит от 73 686 ⃀
Продажа Kia Sorento III Prime Рестайлинг 2020,kia-sorento-6a07122999a22ee340307e4f,https://www.mashina.kg/details/kia-sorento-6a07122999a22ee340307e4f,13900,1215555,2020.0,внедорожник 5 дв.,2.4,автомат,120000 miles,Слева,Ош,В кредит от 29 823 ⃀
Продажа Lexus UX I 2021,lexus-ux-6a05d486e3681022f86a3948,https://www.mashina.kg/details/lexus-ux-6a05d486e3681022f86a3948,23000,2011350,2021.0,внедорожник 5 дв.,2.0,вариатор,135000 km,Слева,Ош,В кредит от 44 988 ⃀
Продажа Audi A6 V (C8) Рестайлинг 2022,audi-a6-6a09bff48d12af36e10ec1a4,https://www.mashina.kg/details/audi-a6-6a09bff48d12af36e10ec1a4,26000,2273700,2022.0,седан,2.0,робот,44700 km,Слева,Бишкек,В кредит от 50 857 ⃀
BMW iX1,bmw-ix1-69e9c769e8c9a581664158,https://www.mashina.kg/details/bmw-ix1-69e9c769e8c9a581664158,27500,2404875,2025.0,,,автомат,118 km,слева,Бишкек,В кредит от 53 791 ⃀
Lexus ES VI Рестайлинг,lexus-es-69c925749de72314480122,https://www.mashina.kg/details/lexus-es-69c925749de72314480122,27500,2404875,2017.0,седан,2.5,вариатор,100000 km,Слева,Бишкек,В кредит от 53 791 ⃀
Продажа Dongfeng Fengshen E70 2026,dongfeng-fengshen-e70-6a09ed0cc6961e8038fdeda1,https://www.mashina.kg/details/dongfeng-fengshen-e70-6a09ed0cc6961e8038fdeda1,14600,1276770,2026.0,седан,,автомат,0 km,Слева,Бишкек,В кредит от 29 823 ⃀
BMW X7 I (G07) Рестайлинг,bmw-x7-69f9ff43cdd84134308434,https://www.mashina.kg/details/bmw-x7-69f9ff43cdd84134308434,98500,8613825,2023.0,внедорожник 5 дв.,3.0,автомат,9000 km,Слева,Бишкек,В кредит от 121 589 ⃀
Toyota Mark II IX (X110),toyota-mark-ii-69dfc487a24b8633530932,https://www.mashina.kg/details/toyota-mark-ii-69dfc487a24b8633530932,5500,480975,2003.0,универсал,2.0,автомат,290000 km,Справа,Бишкек,В кредит от 12 213 ⃀
"Mercedes-Benz E-Класс II (W210, S210) Рестайлинг",mercedesbenz-eklass-69fb2ee9a2cf4125956165,https://www.mashina.kg/details/mercedesbenz-eklass-69fb2ee9a2cf4125956165,8300,725835,2000.0,седан,3.2,автомат,260000 km,Слева,с. Ивановка,В кредит от 18 431 ⃀
Продажа Toyota Camry VIII (XV70) 2018,toyota-camry-6a037a27261fc6e2ecb3ae89,https://www.mashina.kg/details/toyota-camry-6a037a27261fc6e2ecb3ae89,19600,1714020,2018.0,седан,2.5,автомат,99000 miles,Слева,Талас,В кредит от 38 338 ⃀
Toyota Camry VIII (XV70),toyota-camry-69bbce8416a68347483225,https://www.mashina.kg/details/toyota-camry-69bbce8416a68347483225,16300,1425435,2019.0,седан,2.5,автомат,194000 km,Слева,Бишкек,В кредит от 31 883 ⃀
Продажа BMW 5 серии VII (G30/G31) Рестайлинг 2021,bmw-5-serii-6a09c796f064a3cc4e3cad8d,https://www.mashina.kg/details/bmw-5-serii-6a09c796f064a3cc4e3cad8d,33500,2929575,2021.0,седан,2.0,автомат,82000 km,Слева,Бишкек,В кредит от 60 794 ⃀
Toyota RAV4 V (XA50),toyota-rav4-6a016a85db1ab764478529,https://www.mashina.kg/details/toyota-rav4-6a016a85db1ab764478529,33300,2912085,2026.0,внедорожник 5 дв.,2.0,вариатор,13 km,Слева,Бишкек,В кредит от 60 794 ⃀
Продажа Neta U 2022,neta-u-6a096aa8729e7e4b0571caeb,https://www.mashina.kg/details/neta-u-6a096aa8729e7e4b0571caeb,13722,1200000,2022.0,внедорожник 5 дв.,,автомат,109000 km,Слева,Бишкек,В кредит от 30 472 ⃀
Продажа Honda Inspire IV 2004,honda-inspire-6a09afc250ee627a1691944e,https://www.mashina.kg/details/honda-inspire-6a09afc250ee627a1691944e,10300,900735,2004.0,седан,3.0,автомат,272000 km,Справа,Бишкек,В кредит от 22 872 ⃀
Продажа BMW X5 IV (G05/G18) 2019,bmw-x5-6a09971fa283337349de1615,https://www.mashina.kg/details/bmw-x5-6a09971fa283337349de1615,44500,3891525,2019.0,внедорожник 5 дв.,3.0,автомат,87000 km,Слева,Бишкек,В кредит от 66 243 ⃀
Продажа BMW X3 M I (F97) 2019,bmw-x3-m-6a09710a4bf573dfae57face,https://www.mashina.kg/details/bmw-x3-m-6a09710a4bf573dfae57face,46500,4066425,2019.0,внедорожник 5 дв.,3.0,автомат,84000 km,Слева,Бишкек,В кредит от 69 220 ⃀
Продажа Lexus GX II Рестайлинг 2 2020,lexus-gx-6a090cd31a96ed75d9b43227,https://www.mashina.kg/details/lexus-gx-6a090cd31a96ed75d9b43227,49000,4285050,2020.0,внедорожник 5 дв.,4.6,автомат,136000 km,Слева,Бишкек,В кредит от 72 942 ⃀
Toyota Highlander III (U50) Рестайлинг,toyota-highlander-6918537389811830208886,https://www.mashina.kg/details/toyota-highlander-6918537389811830208886,26500,2317425,2019.0,внедорожник 5 дв.,3.5,автомат,84000 km,Слева,Бишкек,В кредит от 51 835 ⃀
Продажа Toyota Camry VII (XV50) Рестайлинг 2 2017,toyota-camry-6a08ab4839862bb98d6981d5,https://www.mashina.kg/details/toyota-camry-6a08ab4839862bb98d6981d5,18199,1591503,2017.0,седан,2.5,автомат,183000 km,Слева,Бишкек,В кредит от 35 597 ⃀
Subaru Forester V,subaru-forester-6a01d9c8d6f81299639251,https://www.mashina.kg/details/subaru-forester-6a01d9c8d6f81299639251,15500,1355475,2020.0,,2.5,вариатор,125528 km,слева,Бишкек,В кредит от 30 318 ⃀
Продажа Tesla Model Y I 2025,tesla-model-y-6a081f6067f26ff1c8c9ccc0,https://www.mashina.kg/details/tesla-model-y-6a081f6067f26ff1c8c9ccc0,29000,2536050,2025.0,внедорожник 5 дв.,,автомат,7500 km,Слева,Ош,В кредит от 55 504 ⃀
BMW X7 I (G07) Рестайлинг,bmw-x7-69f65b8931ae0849458442,https://www.mashina.kg/details/bmw-x7-69f65b8931ae0849458442,110000,9619500,2024.0,,3.0,автомат,22000 km,слева,Бишкек,В кредит от 121 589 ⃀
Продажа LiXiang L7 Рестайлинг 2025,lixiang-l7-6a07b584142678c098e10776,https://www.mashina.kg/details/lixiang-l7-6a07b584142678c098e10776,43500,3804075,2025.0,внедорожник 5 дв.,1.5,автомат,2500 km,Слева,Бишкек,В кредит от 64 754 ⃀
Mercedes-Benz S-Класс V (W221) Рестайлинг,mercedesbenz-sklass-69bd3a7c91e4d529475002,https://www.mashina.kg/details/mercedesbenz-sklass-69bd3a7c91e4d529475002,13500,1180575,2011.0,,5.5,автомат,176902 km,слева,Бишкек,В кредит от 29 978 ⃀
Kia Morning III,kia-morning-69f82f75e6014173286509,https://www.mashina.kg/details/kia-morning-69f82f75e6014173286509,6800,594660,2017.0,хэтчбек 5 дв.,1.0,автомат,110534 км,Слева,Бишкек,В кредит от 15 100 ⃀
Продажа Toyota Sequoia II 2008,toyota-sequoia-6a075ccfec95968a37c3da20,https://www.mashina.kg/details/toyota-sequoia-6a075ccfec95968a37c3da20,29000,2536050,2008.0,внедорожник 5 дв.,5.7,автомат,270000 miles,Слева,Бишкек,В кредит от 55 504 ⃀
Продажа Changan UNI-Z 2025,changan-uni-z-6a05b5ddcaf05fdeb78bced8,https://www.mashina.kg/details/changan-uni-z-6a05b5ddcaf05fdeb78bced8,15000,1311750,2025.0,внедорожник 5 дв.,1.5,робот,4500 km,Слева,Бишкек,В кредит от 29 823 ⃀
Продажа Toyota Camry VIII (XV70) 2018,toyota-camry-6a072caad1792e9fde12f6f7,https://www.mashina.kg/details/toyota-camry-6a072caad1792e9fde12f6f7,14800,1294260,2018.0,седан,2.5,автомат,180000 km,Слева,Бишкек,В кредит от 29 823 ⃀
Продажа Toyota Highlander III (U50) Рестайлинг 2019,toyota-highlander-6a070e548ebd65c328a24d1e,https://www.mashina.kg/details/toyota-highlander-6a070e548ebd65c328a24d1e,25500,2229975,2019.0,внедорожник 5 дв.,3.5,автомат,100000 km,Слева,Бишкек,В кредит от 49 878 ⃀
Продажа BMW X7 I (G07) Рестайлинг 2022,bmw-x7-6a06d58637dc404a83673de9,https://www.mashina.kg/details/bmw-x7-6a06d58637dc404a83673de9,108000,9444600,2022.0,внедорожник 5 дв.,4.4,автомат,60000 km,Слева,Бишкек,В кредит от 121 589 ⃀
Продажа Changan Eado Plus 2026,changan-eado-plus-6a068ccedee37e18d0470179,https://www.mashina.kg/details/changan-eado-plus-6a068ccedee37e18d0470179,11500,1005675,2026.0,седан,1.4,робот,5 km,Слева,Бишкек,В кредит от 25 537 ⃀
Продажа Lexus LX IV 2026,lexus-lx-6a05e8741f896f7d9fc344a2,https://www.mashina.kg/details/lexus-lx-6a05e8741f896f7d9fc344a2,190000,16615500,2026.0,внедорожник 5 дв.,3.5,автомат,15 km,Слева,Бишкек,В кредит от 121 589 ⃀
Chevrolet Tahoe V,chevrolet-tahoe-69fcc308f21f5754632409,https://www.mashina.kg/details/chevrolet-tahoe-69fcc308f21f5754632409,62500,5465625,2022.0,внедорожник 5 дв.,6.2,автомат,15000 km,Слева,Бишкек,В кредит от 93 038 ⃀
Продажа BMW 5 серии VII (G30/G31) 2020,bmw-5-serii-6a05654b981143e4d2b6c4a7,https://www.mashina.kg/details/bmw-5-serii-6a05654b981143e4d2b6c4a7,25500,2229975,2020.0,седан,2.0,автомат,172000 km,Слева,Бишкек,В кредит от 49 878 ⃀
BMW 5 серии VII (G30/G31),bmw-5-serii-66a0eb77239f4492467233,https://www.mashina.kg/details/bmw-5-serii-66a0eb77239f4492467233,29500,2579775,2019.0,,2.0,автомат,105000 km,слева,Бишкек,В кредит от 56 461 ⃀
Продажа Toyota Land Cruiser Prado 120 Series 2008,toyota-land-cruiser-prado-6a0469aad78ee458712e59cb,https://www.mashina.kg/details/toyota-land-cruiser-prado-6a0469aad78ee458712e59cb,25000,2186250,2008.0,внедорожник 5 дв.,4.0,автомат,300000 km,Слева,Бишкек,В кредит от 48 900 ⃀
Lexus LS III Рестайлинг,lexus-ls-69fdce7f6c748714602822,https://www.mashina.kg/details/lexus-ls-69fdce7f6c748714602822,10800,944460,2004.0,седан,4.3,автомат,293000 km,Слева,Бишкек,В кредит от 23 983 ⃀
Chevrolet Volt II,chevrolet-volt-69354559646f7524375539,https://www.mashina.kg/details/chevrolet-volt-69354559646f7524375539,12500,1093125,2017.0,,1.5,вариатор,280000 km,слева,Бишкек,В кредит от 27 758 ⃀
Mercedes-Benz S-Класс AMG I (W220) Рестайлинг,mercedes-benz-s-klass-amg-68b59a75b3ccc943949527,https://www.mashina.kg/details/mercedes-benz-s-klass-amg-68b59a75b3ccc943949527,25555,2234785,2004.0,,5.4,автомат,211000 km,слева,Бишкек,В кредит от 49 986 ⃀
Toyota Tundra II Рестайлинг,toyota-tundra-6988701fe1600246963764,https://www.mashina.kg/details/toyota-tundra-6988701fe1600246963764,45000,3935250,2018.0,,5.7,автомат,177000 km,слева,Бишкек,В кредит от 66 987 ⃀
BMW X5 IV (G05/G18),bmw-x5-69fb7429d1100731002254,https://www.mashina.kg/details/bmw-x5-69fb7429d1100731002254,63500,5553075,2020.0,,4.4,автомат,72000 km,слева,Бишкек,В кредит от 94 527 ⃀
BMW 5 серии VII (G30/G31) Рестайлинг,bmw-5-serii-69fcad4449b00250084707,https://www.mashina.kg/details/bmw-5-serii-69fcad4449b00250084707,37000,3235650,2021.0,,2.0,автомат,50000 km,слева,Бишкек,В кредит от 60 794 ⃀
BMW X7 I (G07),bmw-x7-69fdaa69b41e2542290035,https://www.mashina.kg/details/bmw-x7-69fdaa69b41e2542290035,63000,5509350,2022.0,,3.0,автомат,37000 km,слева,Бишкек,В кредит от 93 782 ⃀
BMW X7 I (G07),bmw-x7-69e21501682b3374043910,https://www.mashina.kg/details/bmw-x7-69e21501682b3374043910,83000,7258350,2022.0,,4.4,автомат,18300 km,слева,Бишкек,В кредит от 121 589 ⃀
Kia Sorento III Prime Рестайлинг,kia-sorento-69fb3b79a76a7008091676,https://www.mashina.kg/details/kia-sorento-69fb3b79a76a7008091676,18500,1617825,2019.0,,2.2,автомат,195000 km,слева,Бишкек,В кредит от 36 186 ⃀
Volvo XC90 II,volvo-xc90-69f880c806d4a365184276,https://www.mashina.kg/details/volvo-xc90-69f880c806d4a365184276,27000,2361150,2018.0,,2.0,автомат,230000 km,слева,Бишкек,В кредит от 52 813 ⃀
Geely Tugella I Рестайлинг,geely-tugella-690b134d9483c056158891,https://www.mashina.kg/details/geely-tugella-690b134d9483c056158891,19000,1661550,2022.0,,2.0,автомат,28936 km,слева,Бишкек,В кредит от 37 164 ⃀
Kia K3 II,kia-k3-69e7b4f09f431130615924,https://www.mashina.kg/details/kia-k3-69e7b4f09f431130615924,13700,1198065,2019.0,,1.6,вариатор,112500 km,слева,Бишкек,В кредит от 30 422 ⃀
Toyota 4Runner V Рестайлинг,toyota-4runner-69ff397c00831026255120,https://www.mashina.kg/details/toyota-4runner-69ff397c00831026255120,30500,2667225,2019.0,,4.0,автомат,140012 km,слева,Бишкек,В кредит от 58 375 ⃀
BMW X5 IV (G05/G18) Рестайлинг,bmw-x5-69e73104413aa578244420,https://www.mashina.kg/details/bmw-x5-69e73104413aa578244420,112000,9794400,2024.0,,3.0,автомат,14000 km,слева,Бишкек,В кредит от 121 589 ⃀
Kia Carnival IV Рестайлинг,kia-carnival-69fae5c31669c169844761,https://www.mashina.kg/details/kia-carnival-69fae5c31669c169844761,33300,2912085,2024.0,минивэн,1.6,автомат,99000 km,Слева,Бишкек,В кредит от 60 794 ⃀
Hyundai Sonata VIII (DN8),hyundai-sonata-69dbf5874619e008208276,https://www.mashina.kg/details/hyundai-sonata-69dbf5874619e008208276,14000,1224300,2019.0,,2.0,автомат,149000 km,слева,Бишкек,В кредит от 29 823 ⃀
Kia K5 II,kia-k5-6a001228412e6125734882,https://www.mashina.kg/details/kia-k5-6a001228412e6125734882,11300,988185,2020.0,,2.0,автомат,350000 km,слева,Бишкек,В кредит от 25 093 ⃀
Audi Q6,audi-q6-69ec62d864de7355721782,https://www.mashina.kg/details/audi-q6-69ec62d864de7355721782,67500,5902875,2026.0,,2.0,робот,10 km,слева,Бишкек,В кредит от 100 481 ⃀
Mercedes-Benz G-Класс AMG II (W463),mercedesbenz-gklass-amg-69e8c3fcdb47d831854805,https://www.mashina.kg/details/mercedesbenz-gklass-amg-69e8c3fcdb47d831854805,138000,12068100,2020.0,,4.0,автомат,20407 km,слева,Бишкек,В кредит от 121 589 ⃀
Kia Sportage IV Рестайлинг,kia-sportage-69fca53d3cafa936997599,https://www.mashina.kg/details/kia-sportage-69fca53d3cafa936997599,18990,1660676,2020.0,,2.0,автомат,133000 km,слева,Бишкек,В кредит от 37 145 ⃀
BMW X5 IV (G05/G18),bmw-x5-69de80807134f026448272,https://www.mashina.kg/details/bmw-x5-69de80807134f026448272,67000,5859150,2022.0,,3.0,автомат,15000 km,слева,Бишкек,В кредит от 99 737 ⃀
Honda M-NV I,honda-mnv-69a8f8b640e22629384210,https://www.mashina.kg/details/honda-mnv-69a8f8b640e22629384210,12500,1093125,2021.0,,,автомат,80633 km,слева,Бишкек,В кредит от 27 758 ⃀
Toyota Camry VII (XV50),toyota-camry-69f0d41e0a096508935374,https://www.mashina.kg/details/toyota-camry-69f0d41e0a096508935374,10000,874500,2012.0,седан,2.5,автомат,290000 km,Слева,Бишкек,В кредит от 22 206 ⃀
Weltmeister W6,weltmeister-w6-69a81b7980169004723838,https://www.mashina.kg/details/weltmeister-w6-69a81b7980169004723838,12500,1093125,2021.0,,,автомат,45735 km,слева,Бишкек,В кредит от 27 758 ⃀
RAM 1500 V,dodge-ram-69d4b3ae77456359986970,https://www.mashina.kg/details/dodge-ram-69d4b3ae77456359986970,60000,5247000,2019.0,,5.7,автомат,236573 km,слева,Бишкек,В кредит от 89 317 ⃀
Toyota RAV4 V (XA50),toyota-rav4-69cde79f489ff710057814,https://www.mashina.kg/details/toyota-rav4-69cde79f489ff710057814,20900,1827705,2019.0,внедорожник 5 дв.,2.5,автомат,200000 km,Слева,Бишкек,В кредит от 40 881 ⃀
Продажа Kia Sorento III Prime Рестайлинг 2019,kia-sorento-6a0a8b512c1c4d6cf98276f7,https://www.mashina.kg/details/kia-sorento-6a0a8b512c1c4d6cf98276f7,17200,1504140,2019.0,внедорожник 5 дв.,2.0,автомат,133000 km,Слева,Бишкек,В кредит от 33 643 ⃀
Hyundai Sonata VII (LF) Рестайлинг,hyundai-sonata-69e71ccf9d561486234116,https://www.mashina.kg/details/hyundai-sonata-69e71ccf9d561486234116,10700,935715,2019.0,,2.0,автомат,255000 km,слева,Ош,В кредит от 23 761 ⃀
Toyota 4Runner V Рестайлинг,toyota-4runner-6948355e2809d944420592,https://www.mashina.kg/details/toyota-4runner-6948355e2809d944420592,45300,3961485,2023.0,внедорожник 5 дв.,4.0,автомат,33500 km,Слева,Бишкек,В кредит от 67 434 ⃀
Hyundai Santa Fe IV,hyundai-santa-fe-69fdcce63db91655300800,https://www.mashina.kg/details/hyundai-santa-fe-69fdcce63db91655300800,18000,1574100,2019.0,,2.2,автомат,139000 km,слева,Бишкек,В кредит от 35 208 ⃀
Продажа Kia Sportage IV Рестайлинг 2019,kia-sportage-6a0813108ba8dcda0ab94706,https://www.mashina.kg/details/kia-sportage-6a0813108ba8dcda0ab94706,14500,1268025,2019.0,внедорожник 5 дв.,2.0,автомат,141000 km,Слева,Бишкек,В кредит от 29 823 ⃀
Продажа Jeep Grand Cherokee V (WL) 2021,jeep-grand-cherokee-6a098eb89ddafc9e3bfdf201,https://www.mashina.kg/details/jeep-grand-cherokee-6a098eb89ddafc9e3bfdf201,25800,2256210,2021.0,внедорожник 5 дв.,3.6,автомат,114000 km,Слева,Бишкек,В кредит от 50 465 ⃀
Продажа BMW M5 V (F10) 2013,bmw-m5-6a09727081383d2a986eaa68,https://www.mashina.kg/details/bmw-m5-6a09727081383d2a986eaa68,34000,2973300,2013.0,седан,4.4,робот,143000 km,Слева,Бишкек,В кредит от 60 794 ⃀
Продажа LiXiang L7 Рестайлинг 2024,lixiang-l7-6a06b3d785f1bf47424c10fe,https://www.mashina.kg/details/lixiang-l7-6a06b3d785f1bf47424c10fe,37500,3279375,2024.0,внедорожник 5 дв.,1.5,автомат,9000 km,Слева,Бишкек,В кредит от 60 794 ⃀
Продажа Toyota 4Runner V Рестайлинг 2019,toyota-4runner-6a077c4cd24dbb9191351647,https://www.mashina.kg/details/toyota-4runner-6a077c4cd24dbb9191351647,40000,3498000,2019.0,внедорожник 5 дв.,4.0,автомат,79700 km,Слева,Бишкек,В кредит от 60 794 ⃀
Продажа Lexus GX I 2008,lexus-gx-6a06e6c30b9a3c57c3f26292,https://www.mashina.kg/details/lexus-gx-6a06e6c30b9a3c57c3f26292,28500,2492325,2008.0,внедорожник 5 дв.,4.7,автомат,212000 km,Слева,Ош,В кредит от 55 747 ⃀
Honda Stream I Рестайлинг,honda-stream-69fb725f0cdf9282775022,https://www.mashina.kg/details/honda-stream-69fb725f0cdf9282775022,5946,520000,2004.0,,1.7,автомат,300000 km,справа,Бишкек,В кредит от 13 204 ⃀
